,Číslo záznamu,Finské id,Typ záznamu,Je součást čeho (číslo záznamu),"typ díla (celé dílo, úryvek, antologie, souborné dílo)",Vztah k originálu (překlad vs. adaptace),Druh adaptace (slovem),Autor/ka + kód autority,Název díla dle titulu v latince,Doplnění názvu,Údaje o odpovědnosti a další informace (z titulní strany),Původní název,Jazyk díla,Výchozí jazyk ,Zprostředkovací jazyk,Údaje o zprostředkovacím díle,"Město vydání, země vydání, nakladatel","Edice, svazek",Údaje o časopiseckém vydání,Počet stran,Rok,ISBN,Další role,Volná poznámka,technická poznámka
241,242,nan,část knihy,241.0,celé dílo,překlad,nan,nan,I osa Rintaman takana,nan,nan,Osudy dobrého vojáka Švejka za světové války - V zázemí,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
242,243,nan,část knihy,241.0,celé dílo,překlad,nan,nan,II osa Matkalla rintamalle,nan,nan,Osudy dobrého vojáka Švejka za světové války - Na frontě,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
243,244,012212887,kniha,nan,souborné dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Kunnon sotamies Švejkin seikkailut maailmansodassa,I-II,nan,originál neexistuje,fin,cze,nan,nan,Helsinki (Finsko): Kansankulttuuri Oy,nan,nan,569.0,1979.0,951-615-175-2,Marja Helin (trl) § Tuure Lehén (trl) § Elvi Sinervo (trl) § Josef Lada (ill),deváté vydání,nan
244,245,nan,část knihy,244.0,celé dílo,překlad,nan,nan,I osa Rintaman takana,nan,nan,Osudy dobrého vojáka Švejka za světové války - V zázemí,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
245,246,nan,část knihy,244.0,celé dílo,překlad,nan,nan,II osa Matkalla rintamalle,nan,nan,Osudy dobrého vojáka Švejka za světové války - Na frontě,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
246,247,005497807,kniha,nan,souborné dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Kunnon sotamies Švejkin seikkailut maailmansodassa,III-IV,nan,originál neexistuje,fin,cze,nan,nan,Helsinki (Finsko): Kansankulttuuri Oy,nan,nan,404.0,1979.0,951-615-275-9,Marja Helin (trl) § Tuure Lehén (trl) § Elvi Sinervo (trl) § Josef Lada (ill),deváté vydání,nan
247,248,nan,část knihy,247.0,celé dílo,překlad,nan,nan,III osa Kunniakas selkäsauna,nan,nan,Osudy dobrého vojáka Švejka za světové války - Slavný výprask,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
248,249,nan,část knihy,247.0,celé dílo,překlad,nan,nan,IV osa Kunniakkaan selkäsaunan jatkoa,nan,nan,Osudy dobrého vojáka Švejka za světové války - Pokračování slavného výprasku,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
249,250,005353869,kniha,nan,souborné dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Kunnon sotamies Švejk maailmansodassa,nan,nan,originál neexistuje,fin,cze,nan,nan,Helsinki (Finsko): Kustannus Osakeyhtiö Orient Express,nan,nan,760.0,1991.0,951-615-792-0,Eero Balk (trl) § Josef Lada (ill),nan,nan
250,251,nan,část knihy,250.0,celé dílo,překlad,nan,nan,Osa I Selustassa,nan,nan,Osudy dobrého vojáka Švejka za světové války - V zázemí,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
251,252,nan,část knihy,250.0,celé dílo,překlad,nan,nan,Osa II Rintamalla,nan,nan,Osudy dobrého vojáka Švejka za světové války - Na frontě,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
252,253,nan,část knihy,250.0,celé dílo,překlad,nan,nan,Osa III Maineikas selkäsauna,nan,nan,Osudy dobrého vojáka Švejka za světové války - Slavný výprask,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
253,254,nan,část knihy,250.0,celé dílo,překlad,nan,nan,Osa IV Maineikkaan selkäsaunan jatkoa,nan,nan,Osudy dobrého vojáka Švejka za světové války - Pokračování slavného výprasku,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
254,255,000221346,kniha,nan,souborné dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Kunnon sotamies Švejk maailmansodassa,nan,nan,originál neexistuje,fin,cze,nan,nan,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,nan,nan,760.0,1997.0,951-31-1117-2,Eero Balk (trl) § Josef Lada (ill),druhé vydání překladu Eera Balka,nan
255,256,nan,část knihy,255.0,celé dílo,překlad,nan,nan,Osa I Selustassa,nan,nan,Osudy dobrého vojáka Švejka za světové války - V zázemí,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
256,257,nan,část knihy,255.0,celé dílo,překlad,nan,nan,Osa II Rintamalla,nan,nan,Osudy dobrého vojáka Švejka za světové války - Na frontě,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
257,258,nan,část knihy,255.0,celé dílo,překlad,nan,nan,Osa III Maineikas selkäsauna,nan,nan,Osudy dobrého vojáka Švejka za světové války - Slavný výprask,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
258,259,nan,část knihy,255.0,celé dílo,překlad,nan,nan,Osa IV Maineikkaan selkäsaunan jatkoa,nan,nan,Osudy dobrého vojáka Švejka za světové války - Pokračování slavného výprasku,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
259,260,003344172,kniha,nan,souborné dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Kunnon sotamies Švejk maailmansodassa,nan,nan,originál neexistuje,fin,cze,nan,nan,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,nan,nan,760.0,2002.0,951-31-2676-5,Eero Balk (trl) § Josef Lada (ill),páté vydání překladu Eera Balka,nan
260,261,nan,část knihy,260.0,celé dílo,překlad,nan,nan,Osa I Selustassa,nan,nan,Osudy dobrého vojáka Švejka za světové války - V zázemí,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
261,262,nan,část knihy,260.0,celé dílo,překlad,nan,nan,Osa II Rintamalla,nan,nan,Osudy dobrého vojáka Švejka za světové války - Na frontě,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
262,263,nan,část knihy,260.0,celé dílo,překlad,nan,nan,Osa III Maineikas selkäsauna,nan,nan,Osudy dobrého vojáka Švejka za světové války - Slavný výprask,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
263,264,nan,část knihy,260.0,celé dílo,překlad,nan,nan,Osa IV Maineikkaan selkäsaunan jatkoa,nan,nan,Osudy dobrého vojáka Švejka za světové války - Pokračování slavného výprasku,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
264,265,006443853,kniha,nan,souborné dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Kunnon sotamies Švejk maailmansodassa,nan,nan,originál neexistuje,fin,cze,nan,nan,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,nan,nan,760.0,2013.0,978-951-31-7663-1,Eero Balk (trl) § Josef Lada (ill),šesté vydání překladu Eera Balka,nan
265,266,nan,část knihy,265.0,celé dílo,překlad,nan,nan,Osa I Selustassa,nan,nan,Osudy dobrého vojáka Švejka za světové války - V zázemí,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
266,267,nan,část knihy,265.0,celé dílo,překlad,nan,nan,Osa II Rintamalla,nan,nan,Osudy dobrého vojáka Švejka za světové války - Na frontě,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
267,268,nan,část knihy,265.0,celé dílo,překlad,nan,nan,Osa III Maineikas selkäsauna,nan,nan,Osudy dobrého vojáka Švejka za světové války - Slavný výprask,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
268,269,nan,část knihy,265.0,celé dílo,překlad,nan,nan,Osa IV Maineikkaan selkäsaunan jatkoa,nan,nan,Osudy dobrého vojáka Švejka za světové války - Pokračování slavného výprasku,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
269,270,000413985,kniha,nan,celé dílo,překlad,nan,"Klíma, Ladislav (jk01060531)",Ruhtinas Sternenhochin kärsimykset,nan,nan,Utrpení knížete Sternenhocha,fin,cze,nan,nan,Helsinki (Finsko): Like,nan,nan,237.0,1994.0,951-578-207-4,Markku Tuiskula (trl),nan,nan
270,271,000718858,kniha,nan,celé dílo,překlad,nan,"Šoltész, Pavel (jk01130739)",Maanantaisin suljettu,nan,nan,Zavírací den,fin,cze,nan,nan,Helsinki (Finsko): Kustannus Oy Taifuuni,Myrskyn merkki  ; pořadí neuvedeno,nan,285.0,1992.0,951-615-002-7,Eero Balk (trl),nan,nan
271,272,003092340,kniha,nan,celé dílo,překlad,nan,"Škvorecký, Josef (jk01130413)",Luutnantti Borůvkan murheet,nan,nan,Smutek poručíka Borůvky,fin,cze,nan,nan,Juva (Finsko): Werner Söderström Osakeyhtiö,Sapo ; 272,nan,323.0,1982.0,951-0-11171-6,Kirsti Siraste (trl),nan,nan
272,273,003236093,kniha,nan,celé dílo,překlad,nan,"Čapek, Karel (jk01021023)",Kotiinpaluu (Hordubal),Romaani,nan,Hordubal,fin,cze,nan,nan,Porvoo (Finsko): Werner Söderström Osakeyhtiö,nan,nan,205.0,1937.0,nan,Reino Silvanto (trl),nan,nan
273,274,005412728,kniha,nan,celé dílo,překlad,nan,"Kundera, Milan (jk01070894)",Olemisen sietämätön keveys,nan,nan,Nesnesitelná lehkost bytí,fin,cze,nan,nan,Juva (Finsko): Werner Söderström Osakeyhtiö,nan,nan,390.0,1985.0,951-0-13075-3,Kirsti Siraste (trl) § Jan Blomstedt (aui),nan,nan
274,275,000396007,kniha,nan,celé dílo,překlad,nan,nan,Uutta tšekkiläistä lasia / New Czech glass,Professori Stanislav Libenskýn oppilaita / Pupils of professor Stanislav Libenský,nan,originál nenalezen,fin,cze,nan,nan,Riihimäki (Finsko): Suomen lasimuseo,nan,nan,68.0,1988.0,951-99928-3-9,Lieko Zachovalová (trl) § Sylva Petrová (edt),nan,dvojjazyčný katalog výstavy
275,276,nan,část knihy,275.0,celé dílo,překlad,nan,"Libenský, Stanislav (jn19990009915)",Esipuhe / Introduction,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
276,277,nan,část knihy,275.0,celé dílo,překlad,nan,"Hlava, Pavel (jo2003163281)",Taide ja teollisuus / Art and industry,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
277,278,nan,část knihy,275.0,celé dílo,překlad,nan,"Petrová, Sylva (jk01092827)",Lasitaiteen vaiheita / The history of art glass,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
278,279,018761293,kniha,nan,celé dílo,překlad,nan,"Mornštajnová, Alena (ola2007364886)",Hana,nan,nan,Hana,fin,cze,nan,nan,Helsinki (Finsko): Kustannusosakeyhtiö Kairaamo,nan,nan,350.0,2023.0,978-952-65206-0-5,Susanna Räty (trl),nan,podpořeno Ministerstvem kultury ČR
279,280,016873045,kniha,nan,celé dílo,adaptace,libreto,"Čapek, Karel (jk01021023) § Čapek, Josef § Kalevi Aho",Hyönteiselämää,nan,Libretto Kalevi Ahon kaksinäytoksiseen oopperaan,Ze života hmyzu,fin,cze,nan,nan,Helsinki (Finsko): Suomen Kansallisooppera,nan,nan,31.0,1996.0,nan,nan,nan,nan
280,281,014705854,kniha,nan,celé dílo,překlad,nan,"Sirovátka, Oldřich (jk01111353) § Lužík, R.",Kodin satuaarteet 3,"Kissa viirusilmä, slaavilaisia satuja",nan,originál nenalezen,fin,cze,ger,nan,(Finsko): Weilin+Göös,Kodin satuaarteet ; 3,nan,235.0,1987.0,nan,Ullamari Kellomäki (trl) § Mária Želibská (ill),nan,neuveden název německého překladu
281,282,nan,část knihy,281.0,celé dílo,nan,nan,nan,"Prinsessa, joka aina vain itki",nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
282,283,nan,část knihy,281.0,celé dílo,nan,nan,nan,Kolme kalastajanpoikaa (puolalainen satu),nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
283,284,nan,část knihy,281.0,celé dílo,nan,nan,nan,"Sepäntytär, joka osasi vaieta (slovakialainen satu)",nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
284,285,nan,část knihy,281.0,celé dílo,nan,nan,nan,"Hongankolistaja, Paksukainen ja Teräväsilmä (tšekkiläinen satu)",nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
285,286,nan,část knihy,281.0,celé dílo,nan,nan,nan,Tyttö ja paholainen (tšekkiläinen satu),nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
286,287,nan,část knihy,281.0,celé dílo,nan,nan,nan,Kuinka rengistä tuli herra (puolalainen saru),nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
287,288,nan,část knihy,281.0,celé dílo,nan,nan,nan,Lehmännahka (puolalainen saru),nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
288,289,nan,část knihy,281.0,celé dílo,nan,nan,nan,Ukko Tietäväisen kolme kultaista hiusta (tšekkiläinen satu),nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
289,290,nan,část knihy,281.0,celé dílo,nan,nan,nan,Soiva lehmus (sorbilainen satu),nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
290,291,nan,část knihy,281.0,celé dílo,nan,nan,nan,Kaksitoista kuukautta (slovakialainen satu),nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
291,292,nan,část knihy,281.0,celé dílo,nan,nan,nan,Paholainen renkinä (slovakialainen satu),nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
292,293,nan,část knihy,281.0,celé dílo,nan,nan,nan,Sitten prinsessa kuivasi kyyneleensä,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
293,294,nan,část knihy,281.0,celé dílo,nan,nan,nan,Kissa Viirusilmä (venäläinen satu),nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
294,295,nan,část knihy,281.0,celé dílo,nan,nan,nan,Hajamielinen Josef (ukrainalainen satu),nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
295,296,nan,část knihy,281.0,celé dílo,nan,nan,nan,Ivan ja taikahevonen (venäläinen satu),nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
296,297,nan,část knihy,281.0,celé dílo,nan,nan,nan,Taikuri Hohhoi (ukrainalainen satu),nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
297,298,nan,část knihy,281.0,celé dílo,nan,nan,nan,Kolja ja Merenhaltijan tytär (venäläinen satu),nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
298,299,nan,část knihy,281.0,celé dílo,nan,nan,nan,Ivan Kananjalka (venäläinen satu),nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
299,300,nan,část knihy,281.0,celé dílo,nan,nan,nan,Ukko Grigorin kepposet (ukrainalainen satu),nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
300,301,nan,část knihy,281.0,celé dílo,nan,nan,nan,Sepän sadut saivat prinsessan hymyilemään,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
301,302,nan,část knihy,281.0,celé dílo,nan,nan,nan,Hyväsydäminen tsaarinpoika (bulgarialainen satu),nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
302,303,nan,část knihy,281.0,celé dílo,nan,nan,nan,Nokkela prinsessa ja köyhä nuorukainen (slovenialainen satu),nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
303,304,nan,část knihy,281.0,celé dílo,nan,nan,nan,Susiveljekset (kroatialainen satu),nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
304,305,nan,část knihy,281.0,celé dílo,nan,nan,nan,Avuliaat eläimet (bulgarialainen satu),nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
305,306,nan,část knihy,281.0,celé dílo,nan,nan,nan,Kettu on aina kettu (makedonialainen satu),nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
306,307,nan,část knihy,281.0,celé dílo,nan,nan,nan,Maitoparta ja tyhmät jättiläiset (serbialainen satu),nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
307,308,nan,část knihy,281.0,celé dílo,nan,nan,nan,Ihmeellinen kala (slovenialainen satu),nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
308,309,nan,část knihy,281.0,celé dílo,nan,nan,nan,Kuinka Ero petkutti turkkilaisia (serbialainen satu),nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
309,310,nan,část knihy,281.0,celé dílo,nan,nan,nan,Ja lopulta prinsessa nauroi,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
310,311,000735615,kniha,nan,celé dílo,překlad,nan,"Denk, Petr (jk01022207)",Nikkar-Tikkarin mäellä,nan,nan,Do kola - zlatý povijan,fin,cze,nan,nan,(Finsko): Werner Söderström Osakeyhtiö,nan,nan,nan,1960.0,nan,Kirsi Kunnas (trl) § Adolf Zábranský (ill),nan,výběr z českých lidových básní poskytnutých Petrem Denkem
311,312,000671184,kniha,nan,antologie,nan,nan,"Čechura, Rudolf (jk01021177) §  Macourek, Miloš (jk01072813) § Bradáč, František § Vyskočil, Ivan (jk01151228) §  Krumbachová, Ester (jk01063545) §  Mikulka, Alois (jk01081647) §  Sekyrková, Hana (jk01022763) § Hejná, Olga (jk01040577) § Borská, Ilona (jk01012697) § Vostrá, Alena (jk01150760) §  Franková, Hermína (jk01031754) § Čtvrtek, Václav (jk01021929) §  Aškenazy, Ludvík (jk01010398) § Štuka, Ivo (jk01131550)",Satukaruselli,nan,nan,originál neexistuje,fin,cze,ger,Märchenkarussell: Anthologie moderner tschechischer Märchen,Helsinki (Finsko): Weilin+Göös,nan,nan,213.0,1968.0,nan,Kaija Pakkanen (trl) § Václav Sivko (ill),nan,nan
312,313,nan,část knihy,312.0,celé dílo,nan,nan,"Čechura, Rudolf (jk01021177)",Vastahakoinen Eeva,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
313,314,nan,část knihy,312.0,celé dílo,nan,nan,"Macourek, Miloš (jk01072813)",Heikki joka lihoi lihomistaan,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
314,315,nan,část knihy,312.0,celé dílo,nan,nan,"Bradáč, František",Eiperiksi,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
315,316,nan,část knihy,312.0,celé dílo,nan,nan,"Macourek, Miloš (jk01072813)",Susanna ja kirjaimet,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
316,317,nan,část knihy,312.0,celé dílo,nan,nan,"Vyskočil, Ivan (jk01151228)",Seikkailu ruohikossa,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
317,318,nan,část knihy,312.0,celé dílo,nan,nan,"Krumbachová, Ester (jk01063545)","Susanna, flamingo ja unijukka",nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
318,319,nan,část knihy,312.0,celé dílo,nan,nan,"Macourek, Miloš (jk01072813)",Virtahepo joka pelkäsi rokottamista,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
319,320,nan,část knihy,312.0,celé dílo,nan,nan,"Krumbachová, Ester (jk01063545)",Satu makaronista ja sateenvarjosta,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
320,321,nan,část knihy,312.0,celé dílo,nan,nan,"Mikulka, Alois (jk01081647)",Klingelingauto ja pyrstötähti,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
